CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas
300730;OPERADORA_NAO_IDENTIFICADA;4;2024;78829186.65
360449;OPERADORA_NAO_IDENTIFICADA;4;2024;13813032767.61
333662;OPERADORA_NAO_IDENTIFICADA;4;2024;2031072692.22
305740;OPERADORA_NAO_IDENTIFICADA;4;2024;9150336.88
353752;OPERADORA_NAO_IDENTIFICADA;4;2024;40337722.00
408093;OPERADORA_NAO_IDENTIFICADA;4;2024;46851711.33
314757;OPERADORA_NAO_IDENTIFICADA;4;2024;9017071.52
364584;OPERADORA_NAO_IDENTIFICADA;4;2024;5959629776.74
347108;OPERADORA_NAO_IDENTIFICADA;4;2024;605905080.61
370975;OPERADORA_NAO_IDENTIFICADA;4;2024;550354969.87
320510;OPERADORA_NAO_IDENTIFICADA;4;2024;807637644.42
421081;OPERADORA_NAO_IDENTIFICADA;4;2024;13398255.28
410624;OPERADORA_NAO_IDENTIFICADA;4;2024;119676508.96
357260;OPERADORA_NAO_IDENTIFICADA;4;2024;2392963462.43
415898;OPERADORA_NAO_IDENTIFICADA;4;2024;15844392.17
357669;OPERADORA_NAO_IDENTIFICADA;4;2024;221662870.26
005711;OPERADORA_NAO_IDENTIFICADA;4;2024;309640735544.25
337668;OPERADORA_NAO_IDENTIFICADA;4;2024;5304388476.25
422240;OPERADORA_NAO_IDENTIFICADA;4;2024;1478839.28
406937;OPERADORA_NAO_IDENTIFICADA;4;2024;183485301.79
359033;OPERADORA_NAO_IDENTIFICADA;4;2024;420343669.44
370711;OPERADORA_NAO_IDENTIFICADA;4;2024;65627324.03
374440;OPERADORA_NAO_IDENTIFICADA;4;2024;1338860320.14
323357;OPERADORA_NAO_IDENTIFICADA;4;2024;766054504.83
365777;OPERADORA_NAO_IDENTIFICADA;4;2024;837857675.22
339954;OPERADORA_NAO_IDENTIFICADA;4;2024;10948405190.66
419010;OPERADORA_NAO_IDENTIFICADA;4;2024;3698530363.80
423521;OPERADORA_NAO_IDENTIFICADA;4;2024;8
330281;OPERADORA_NAO_IDENTIFICADA;4;2024;483496214.10
322831;OPERADORA_NAO_IDENTIFICADA;4;2024;976347946.47
421553;OPERADORA_NAO_IDENTIFICADA;4;2024;12925990.23
323004;OPERADORA_NAO_IDENTIFICADA;4;2024;245682509.64
421871;OPERADORA_NAO_IDENTIFICADA;4;2024;102848355.42
306045;OPERADORA_NAO_IDENTIFICADA;4;2024;576904970.69
423556;OPERADORA_NAO_IDENTIFICADA;4;2024;1538821.12
420999;OPERADORA_NAO_IDENTIFICADA;4;2024;170418535.33
350699;OPERADORA_NAO_IDENTIFICADA;4;2024;882907447.14
418200;OPERADORA_NAO_IDENTIFICADA;4;2024;26209704.89
331341;OPERADORA_NAO_IDENTIFICADA;4;2024;2122397310.01
347736;OPERADORA_NAO_IDENTIFICADA;4;2024;446122300.51
340120;OPERADORA_NAO_IDENTIFICADA;4;2024;43875969.89
312282;OPERADORA_NAO_IDENTIFICADA;4;2024;404881928.65
339636;OPERADORA_NAO_IDENTIFICADA;4;2024;747949815.63
300195;OPERADORA_NAO_IDENTIFICADA;4;2024;13602139.12
354686;OPERADORA_NAO_IDENTIFICADA;4;2024;49740605.69
335517;OPERADORA_NAO_IDENTIFICADA;4;2024;858669971.58
360244;OPERADORA_NAO_IDENTIFICADA;4;2024;2648031478.34
359289;OPERADORA_NAO_IDENTIFICADA;4;2024;2721322250.22
407241;OPERADORA_NAO_IDENTIFICADA;4;2024;10731328.24
421197;OPERADORA_NAO_IDENTIFICADA;4;2024;887639619.90
345458;OPERADORA_NAO_IDENTIFICADA;4;2024;733336072.19
351792;OPERADORA_NAO_IDENTIFICADA;4;2024;1087675337.57
348261;OPERADORA_NAO_IDENTIFICADA;4;2024;530140053.75
417785;OPERADORA_NAO_IDENTIFICADA;4;2024;15908390.56
422991;OPERADORA_NAO_IDENTIFICADA;4;2024;2253507.88
370088;OPERADORA_NAO_IDENTIFICADA;4;2024;876178911.74
333808;OPERADORA_NAO_IDENTIFICADA;4;2024;670507913.14
319996;OPERADORA_NAO_IDENTIFICADA;4;2024;13024191549.82
333051;OPERADORA_NAO_IDENTIFICADA;4;2024;3062017337.83
325082;OPERADORA_NAO_IDENTIFICADA;4;2024;158674685.67
304531;OPERADORA_NAO_IDENTIFICADA;4;2024;140248032.90
389854;OPERADORA_NAO_IDENTIFICADA;4;2024;208601300.64
384704;OPERADORA_NAO_IDENTIFICADA;4;2024;317362043.20
336874;OPERADORA_NAO_IDENTIFICADA;4;2024;32181701.33
392804;OPERADORA_NAO_IDENTIFICADA;4;2024;4158936576.18
372561;OPERADORA_NAO_IDENTIFICADA;4;2024;865121023.85
418137;OPERADORA_NAO_IDENTIFICADA;4;2024;268615403.71
423343;OPERADORA_NAO_IDENTIFICADA;4;2024;21510959.28
313149;OPERADORA_NAO_IDENTIFICADA;4;2024;203495156.64
347507;OPERADORA_NAO_IDENTIFICADA;4;2024;2059305007.97
382876;OPERADORA_NAO_IDENTIFICADA;4;2024;24058076336.29
357511;OPERADORA_NAO_IDENTIFICADA;4;2024;9885756090.21
371106;OPERADORA_NAO_IDENTIFICADA;4;2024;2406357914.87
415910;OPERADORA_NAO_IDENTIFICADA;4;2024;26156593.68
419231;OPERADORA_NAO_IDENTIFICADA;4;2024;42496058.48
325236;OPERADORA_NAO_IDENTIFICADA;4;2024;901360713.11
419168;OPERADORA_NAO_IDENTIFICADA;4;2024;12495404.14
337871;OPERADORA_NAO_IDENTIFICADA;4;2024;1859698846.20
419613;OPERADORA_NAO_IDENTIFICADA;4;2024;333522.48
342203;OPERADORA_NAO_IDENTIFICADA;4;2024;234348896.68
359726;OPERADORA_NAO_IDENTIFICADA;4;2024;5453872.32
413194;OPERADORA_NAO_IDENTIFICADA;4;2024;114090466.72
416428;OPERADORA_NAO_IDENTIFICADA;4;2024;5246117125.21
314242;OPERADORA_NAO_IDENTIFICADA;4;2024;439393881.57
364592;OPERADORA_NAO_IDENTIFICADA;4;2024;483478314.14
006246;OPERADORA_NAO_IDENTIFICADA;4;2024;237238124131.39
417301;OPERADORA_NAO_IDENTIFICADA;4;2024;307761381.72
421634;OPERADORA_NAO_IDENTIFICADA;4;2024;42413130.08
304468;OPERADORA_NAO_IDENTIFICADA;4;2024;1256176288.40
406813;OPERADORA_NAO_IDENTIFICADA;4;2024;64395681.47
322890;OPERADORA_NAO_IDENTIFICADA;4;2024;92807166.99
301949;OPERADORA_NAO_IDENTIFICADA;4;2024;13004934674.68
335592;OPERADORA_NAO_IDENTIFICADA;4;2024;11689773396.41
000515;OPERADORA_NAO_IDENTIFICADA;4;2024;708068265.92
302953;OPERADORA_NAO_IDENTIFICADA;4;2024;4487072919.24
423815;OPERADORA_NAO_IDENTIFICADA;4;2024;1806438.00
335690;OPERADORA_NAO_IDENTIFICADA;4;2024;32456212294.03
412635;OPERADORA_NAO_IDENTIFICADA;4;2024;346184116.54
419133;OPERADORA_NAO_IDENTIFICADA;4;2024;4057889506.35
383929;OPERADORA_NAO_IDENTIFICADA;4;2024;39820033.28
422061;OPERADORA_NAO_IDENTIFICADA;4;2024;8
419931;OPERADORA_NAO_IDENTIFICADA;4;2024;3517307.60
351202;OPERADORA_NAO_IDENTIFICADA;4;2024;8373605998.92
344141;OPERADORA_NAO_IDENTIFICADA;4;2024;90318175.57
418749;OPERADORA_NAO_IDENTIFICADA;4;2024;83014941.61
346870;OPERADORA_NAO_IDENTIFICADA;4;2024;203811970.01
422673;OPERADORA_NAO_IDENTIFICADA;4;2024;6202477.28
325465;OPERADORA_NAO_IDENTIFICADA;4;2024;345285021.10
313084;OPERADORA_NAO_IDENTIFICADA;4;2024;498486740.51
401919;OPERADORA_NAO_IDENTIFICADA;4;2024;4456602.24
330566;OPERADORA_NAO_IDENTIFICADA;4;2024;1497120505.80
421545;OPERADORA_NAO_IDENTIFICADA;4;2024;1376499.34
314366;OPERADORA_NAO_IDENTIFICADA;4;2024;54718748.90
421391;OPERADORA_NAO_IDENTIFICADA;4;2024;3295852.24
352519;OPERADORA_NAO_IDENTIFICADA;4;2024;254940430.33
301124;OPERADORA_NAO_IDENTIFICADA;4;2024;530416854.68
307751;OPERADORA_NAO_IDENTIFICADA;4;2024;1131704493.93
316881;OPERADORA_NAO_IDENTIFICADA;4;2024;1328084830.37
423661;OPERADORA_NAO_IDENTIFICADA;4;2024;155293605.36
327867;OPERADORA_NAO_IDENTIFICADA;4;2024;40972684.72
411582;OPERADORA_NAO_IDENTIFICADA;4;2024;643422909.37
418048;OPERADORA_NAO_IDENTIFICADA;4;2024;3839037.32
347825;OPERADORA_NAO_IDENTIFICADA;4;2024;174135049.73
366510;OPERADORA_NAO_IDENTIFICADA;4;2024;7718625.20
333689;OPERADORA_NAO_IDENTIFICADA;4;2024;1947561166.97
320251;OPERADORA_NAO_IDENTIFICADA;4;2024;2564721812.64
422771;OPERADORA_NAO_IDENTIFICADA;4;2024;792431990.87
349534;OPERADORA_NAO_IDENTIFICADA;4;2024;1515329484.13
418595;OPERADORA_NAO_IDENTIFICADA;4;2024;8451610.00
350346;OPERADORA_NAO_IDENTIFICADA;4;2024;357937567.46
342556;OPERADORA_NAO_IDENTIFICADA;4;2024;3646993925.41
415821;OPERADORA_NAO_IDENTIFICADA;4;2024;1662581.76
423114;OPERADORA_NAO_IDENTIFICADA;4;2024;31026822.24
311944;OPERADORA_NAO_IDENTIFICADA;4;2024;343778371.22
418013;OPERADORA_NAO_IDENTIFICADA;4;2024;23889567.04
422339;OPERADORA_NAO_IDENTIFICADA;4;2024;3229918623.10
422304;OPERADORA_NAO_IDENTIFICADA;4;2024;75584938.16
343331;OPERADORA_NAO_IDENTIFICADA;4;2024;687345995.51
403997;OPERADORA_NAO_IDENTIFICADA;4;2024;14575535.52
340251;OPERADORA_NAO_IDENTIFICADA;4;2024;664621013.18
353876;OPERADORA_NAO_IDENTIFICADA;4;2024;355128644.93
327638;OPERADORA_NAO_IDENTIFICADA;4;2024;183646186.84
403245;OPERADORA_NAO_IDENTIFICADA;4;2024;19455563.81
418901;OPERADORA_NAO_IDENTIFICADA;4;2024;1540562.00
413283;OPERADORA_NAO_IDENTIFICADA;4;2024;120993552.60
342084;OPERADORA_NAO_IDENTIFICADA;4;2024;14118553146.07
410071;OPERADORA_NAO_IDENTIFICADA;4;2024;5448037.92
358096;OPERADORA_NAO_IDENTIFICADA;4;2024;977198143.96
370568;OPERADORA_NAO_IDENTIFICADA;4;2024;119610462.20
414310;OPERADORA_NAO_IDENTIFICADA;4;2024;1134606903.85
420859;OPERADORA_NAO_IDENTIFICADA;4;2024;256014100.19
417874;OPERADORA_NAO_IDENTIFICADA;4;2024;3053483.84
419559;OPERADORA_NAO_IDENTIFICADA;4;2024;20188502.92
418803;OPERADORA_NAO_IDENTIFICADA;4;2024;945744717.73
422827;OPERADORA_NAO_IDENTIFICADA;4;2024;293026104.84
415081;OPERADORA_NAO_IDENTIFICADA;4;2024;47943446.24
414212;OPERADORA_NAO_IDENTIFICADA;4;2024;242229928.31
312347;OPERADORA_NAO_IDENTIFICADA;4;2024;1688373591.94
384577;OPERADORA_NAO_IDENTIFICADA;4;2024;7283359512.13
351628;OPERADORA_NAO_IDENTIFICADA;4;2024;5070162.95
350290;OPERADORA_NAO_IDENTIFICADA;4;2024;15355039.73
419524;OPERADORA_NAO_IDENTIFICADA;4;2024;49867425.71
000884;OPERADORA_NAO_IDENTIFICADA;4;2024;3137066798.41
379280;OPERADORA_NAO_IDENTIFICADA;4;2024;1982761431.23
415936;OPERADORA_NAO_IDENTIFICADA;4;2024;321436338.59
414654;OPERADORA_NAO_IDENTIFICADA;4;2024;253217105.76
336238;OPERADORA_NAO_IDENTIFICADA;4;2024;4615553.52
338648;OPERADORA_NAO_IDENTIFICADA;4;2024;1633213079.02
417114;OPERADORA_NAO_IDENTIFICADA;4;2024;9372069.84
423700;OPERADORA_NAO_IDENTIFICADA;4;2024;9285833.84
384844;OPERADORA_NAO_IDENTIFICADA;4;2024;857591.28
418242;OPERADORA_NAO_IDENTIFICADA;4;2024;4381597.36
345598;OPERADORA_NAO_IDENTIFICADA;4;2024;2099175272.03
319121;OPERADORA_NAO_IDENTIFICADA;4;2024;5423535160.76
413372;OPERADORA_NAO_IDENTIFICADA;4;2024;1046715557.97
423637;OPERADORA_NAO_IDENTIFICADA;4;2024;11327466.48
353264;OPERADORA_NAO_IDENTIFICADA;4;2024;653373534.10
343889;OPERADORA_NAO_IDENTIFICADA;4;2024;57235567766.85
409413;OPERADORA_NAO_IDENTIFICADA;4;2024;113089581.93
424218;OPERADORA_NAO_IDENTIFICADA;4;2024;38964.24
310131;OPERADORA_NAO_IDENTIFICADA;4;2024;21420900.24
328537;OPERADORA_NAO_IDENTIFICADA;4;2024;1875185413.07
